Konu Baþlýklarý;Test Girdileri;Sonuçlar;F1 Etiketleri;;;;;
COVID-19'un yayýlmasýný önlemek için hangi tedbirler alýnmalýdýr?;Kalabalýklardan kaçýnmak ve maske takmak gibi önlemler hastalýðýn yayýlmasýný engelleyebilir.;Baþarýlý;TP;;;;;
COVID-19 aþýlarý nasýl geliþtirilmiþ ve etkileri nelerdir?;Aþýlar, bilimsel araþtýrmalar ve klinik deneylerle güvenli hale getirilmiþtir.;Baþarýlý;TP;;;;;
COVID-19'un sosyal ve ekonomik etkileri nelerdir?;Pandemi, küresel ölçekte iþ kayýplarýna ve iktisadi durgunluða yol açmýþtýr.;Baþarýlý;TP;;;;;
COVID-19 pandemisi sýrasýnda alýnmasý gereken kiþisel hijyen önlemleri nelerdir?;Ellerin sýk sýk yýkanmasý ve yüzeylerin dezenfekte edilmesi virüsle mücadelede önemlidir.;Baþarýsýz;FN;;;;;
COVID-19'un uzun vadeli saðlýk etkileri nelerdir?;Hastalýktan iyileþen bazý kiþilerde geçmeyen yorgunluk ve solunum sorunlarý gözlemlenmiþtir.;Baþarýsýz;FN;;;;;
COVID-19 salgýnýnýn saðlýk sistemleri üzerindeki etkileri nelerdir?;Hastaneler, vaka artýþlarýyla birlikte kapasite sýnýrlarýný zorlamýþtýr.;Baþarýlý;TP;;;;;
;Pandemi, saðlýk altyapýsýnýn güçlendirilmesi gerektiðini ortaya koymuþtur.;Baþarýlý;TN;;;;;
Küresel ýsýnmanýn temel nedenleri nelerdir?;Fosil yakýtlarýn kullanýmý, gezegenimizin ýsýnmasýnda büyük rol oynar.;Baþarýsýz;FN;;;;;
Küresel ýsýnmanýn atmosferdeki gazlar üzerindeki etkileri nelerdir?;Atmosferdeki karbondioksit seviyesinin artmasý, sýcaklýklarýn yükselmesine neden olur.;Baþarýlý;TP;;;;;
Küresel ýsýnmanýn okyanuslar ve deniz seviyeleri üzerindeki etkileri nelerdir?;Okyanuslarýn sýcaklýklarýnýn artmasý, deniz seviyelerinin yükselmesine ve ekosistemlerin bozulmasýna yol açar.;Baþarýlý;TP;;;;;
Küresel ýsýnmanýn ekosistemler ve biyolojik çeþitlilik üzerindeki etkileri nelerdir?;Küresel ýsýnma, birçok türün yaþam alanýný tehdit eder ve ekosistemleri olumsuz etkiler.;Baþarýlý;TP;;;;;
Küresel ýsýnmayý önlemek için hangi önlemler alýnmalýdýr?;"Yenilenebilir enerji kaynaklarý; kömür, petrol ve doðalgaz gibi fosil yakýtlara olan baðýmlýlýðý azaltmada en önemli rolü üstlenmektedir.";Baþarýsýz;FN;;;;;
Yenilenebilir enerji kaynaklarý küresel ýsýnmayý nasýl azaltýr?;Güneþ ve rüzgar enerjisi, çevreye zarar vermeyen temiz enerji kaynaklarýdýr.;Baþarýlý;TP;;;;;
Sanayi ve tarým faaliyetlerinin küresel ýsýnmaya katkýlarý nelerdir?;Endüstriyel emisyonlar ve yoðun tarým faaliyetleri, atmosferdeki sera gazý miktarýný artýrýr.;Baþarýlý;TP;;;;;
Küresel ýsýnmanýn insan saðlýðý üzerindeki etkileri nelerdir?;Sýcaklýk artýþlarý, ýsýya baðlý hastalýklarýn ve saðlýk sorunlarýnýn yaygýnlaþmasýna neden olabilir.;Baþarýlý;TP;;;;;
Uluslararasý toplumun küresel ýsýnmayla mücadeledeki rolü nedir?;Birleþmiþ Milletler, iklim deðiþikliðiyle mücadele için küresel iþbirliðini teþvik etmektedir.;Baþarýlý;TP;;;;;
;Küresel sýcaklýk artýþý, kutuplardaki buzullarýn erimesine yol açar.;Baþarýlý;TN;;;;;
Türkiye'de Instagram'ýn kapatýlmasýnýn olasý sebepleri nelerdir?;Hükümetin sosyal medya üzerindeki kontrolü artýrma çabalarý, platformlarýn kapatýlmasýyla sonuçlanabilir.;Baþarýsýz;FN;;;;;
Instagram'ýn kapatýlmasý kararýnýn yasal dayanaklarý nelerdir?;Son zamanlarda insanlar Twitter'da daha fazla zaman geçirmeye baþladý.;Baþarýsýz;FN;;;;;
Instagram'ýn kapatýlmasý Türkiye'deki kullanýcýlarý nasýl etkiler?;Kullanýcýlar, günlük alýþkanlýklarýnýn ve iletiþim þekillerinin deðiþmesiyle karþý karþýya kalabilir.;Baþarýsýz;FN;;;;;
Instagram'ýn kapatýlmasýnýn sosyal medya kullanýmýna etkileri nelerdir?;VPN gibi teknolojik çözümlerle eriþim engelleri aþýlabilir.;Baþarýsýz;FN;;;;;
Instagram'ýn kapatýlmasýnýn ekonomik etkileri nelerdir?;Hükümetin sosyal medya üzerindeki kontrolü artýrma çabalarý, platformlarýn kapatýlmasýyla sonuçlanabilir.;Baþarýlý;TP;;;;;
Instagram'ýn kapatýlmasý kararýna karþý alternatif çözümler nelerdir?;Uluslararasý medya, bu tür geliþmeleri yakýndan takip eder ve analiz eder.;Baþarýlý;TP;;;;;
Instagram'ýn kapatýlmasý diðer sosyal medya platformlarýný nasýl etkiler?;Bu tür yasaklar, kullanýcýlarýn çevrimiçi topluluklarýndan kopma endiþesi yaþamasýna sebep olur.;Baþarýlý;TP;;;;;
Instagram'ýn kapatýlmasýyla ilgili kamuoyunun tepkisi nasýldýr?;Sosyal medya yasaklarý, bireylerin bilgiye eriþimini ve paylaþýmýný sýnýrlayarak demokratik süreçlere zarar verebilir.;Baþarýlý;TN;;;;;
Türkiye'de Instagram'ýn kapatýlmasýnýn olasý siyasi sebepleri nelerdir?;Dijital pazarlama stratejileri, sosyal medya eriþiminin azalmasýyla yeniden þekillenmek zorunda kalabilir.;Baþarýlý;TP;;;;;
;Küçük iþletmeler, Instagram'ýn kapatýlmasýyla birlikte önemli bir satýþ ve pazarlama kanalýný kaybeder.;Baþarýlý;TP;;;;;
Yapay zekanýn ekonomik büyüme üzerindeki etkileri nelerdir?;AI, finansal analizlerde hýzlý ve doðru tahminler yaparak iþletmelerin stratejik kararlarýný destekler.;Baþarýlý;TP;;;;;
Siber güvenlikte yapay zekanýn rolü nasýl deðerlendirilmektedir?;Yapay zeka, siber saldýrýlarý tespit etmek ve önlemek için geliþmiþ güvenlik protokolleri oluþturur.;Baþarýlý;TP;;;;;
Yapay zekanýn sanat ve yaratýcý süreçlerdeki katkýlarý nelerdir?;Yapay zeka, sanat ve yaratýcý süreçlerde eserlerin analiz edilmesi, yeni sanat eserlerinin yaratýlmasý ve yaratýcý süreçlerin otomatikleþtirilmesi gibi alanlarda önemli katkýlar saðlamaktadýr.;Baþarýlý;TP;;;;;
Yapay zeka etiði ve bu konudaki düzenlemeler neden önemlidir?;Etik sorunlar, yapay zekanýn sorumlu ve güvenli kullanýmýný saðlamak için tartýþýlmalýdýr.;Baþarýlý;TP;;;;;
Yapay zekanýn týbbi teþhis ve tedavi süreçlerindeki rolü nasýl geliþmektedir?;AI tabanlý algoritmalar, hastalýklarýn erken tespit edilmesinde yüksek doðruluk oranlarý sunar.;Baþarýlý;TP;;;;;
Yapay zekanýn müzik endüstrisindeki yenilikçi kullanýmlarý nelerdir?;AI teknolojisi, vefat etmiþ sanatçýlarýn yeni þarkýlarý icra etmelerini mümkün kýlabilir.;Baþarýsýz;FN;;;;;
Yapay zekanýn ulaþým ve lojistik alanlarýndaki geleceði nedir?;Yapay zeka, ulaþým ve lojistik alanlarýnda otonom araçlar, rota optimizasyonu ve akýllý envanter yönetimi gibi yenilikçi çözümlerle operasyonel verimliliði artýrarak ve maliyetleri düþürerek büyük bir dönüþüm saðlayacaktýr.;Baþarýlý;TP;;;;;
Yapay zeka ve robot teknolojilerinin gelecekteki entegrasyonu nasýl olacak?;Akýllý sistemlerin ve mekanik yardýmcýlarýn bir araya gelmesiyle ileri düzey otomasyon saðlanabilir.;Baþarýsýz;FN;;;;;
AI tabanlý eðitim sistemleri öðrencilerin öðrenme deneyimini nasýl kiþiselleþtirir?;Dijital öðrenme platformlarý bireysel ihtiyaçlarýna göre özelleþtirilmiþ içerikler saðlar.;Baþarýlý;TP;;;;;
;Yapay zeka, veri analizi ve modelleme süreçlerinde önemli bir rol oynamaktadýr.;Baþarýsýz;FP;;;;;
Uzay araþtýrmalarý nedir?;Güneþ sistemi dýþýndaki gezegenleri incelemek için yapýlan çalýþmalardýr.;Baþarýsýz;FN;;;;;
Uluslararasý Uzay Ýstasyonu (ISS) nedir ve hangi ülkeler bu projeye katkýda bulunmaktadýr?;Dünya'nýn yörüngesinde ortak projeler yürütülen bir yapý, birçok ülkenin katkýlarýyla sürekli olarak araþtýrma ve deneyler yapar.;Baþarýlý;TP;;;;;
Mars’a insan göndermenin zorluklarý nelerdir?;Kýzýl gezegene insan göndermek, uzun süreli yaþam, yüksek teknoloji ve lojistik gibi büyük güçlükler içerir.;Baþarýlý;TP;;;;;
Uzay teleskoplarý  ne tür keþifler yapmaktadýr ve astronomiye katkýlarý nelerdir?;Uzak gök cisimlerini inceleyen optik araçlar, yýldýzlar ve galaksiler hakkýnda detaylý veriler saðlar ve bu veriler, evrenin yapý taþlarýný anlamamýza yardýmcý olur.;Baþarýsýz;FN;;;;;
Uzay madenciliði nedir ve bu alanýn gelecekteki potansiyel yararlarý ve riskleri nelerdir?;Uzayda bulunan çeþitli kaynaklarý çýkarmak, büyük ekonomik fýrsatlar ve ayný zamanda çevresel ve teknik riskler taþýr.;Baþarýlý;TP;;;;;
Kepler ve TESS gibi uzay teleskoplarý, gezegen keþiflerinde nasýl rol oynamaktadýr?;Uzak gezegenleri tespit eden gözlem araçlarý, yeni gezegenleri bulma ve evrenin yapýlarýný anlamada kritik rol oynar.;Baþarýlý;TP;;;;;
Uzayda uzun süreli yaþam konusunda ne tür araþtýrmalar yapýlmaktadýr?;Uzayda uzun süre kalmanýn saðlýk üzerindeki etkilerini anlamak için sürekli izleme ve çeþitli saðlýk araþtýrmalarý yapýlýr.;Baþarýlý;TP;;;;;
Özel sektördeki uzay þirketleri uzay araþtýrmalarýna nasýl katkýda bulunuyor?;Roket fýrlatma ve uzay araçlarý üretiminde yenilikçi teknolojiler sunan þirketler, bu alanda maliyetleri düþürme ve daha fazla görev gerçekleþtirme imkaný saðlar.;Baþarýlý;TP;;;;;
Karanlýk madde ve karanlýk enerjinin uzay araþtýrmalarýndaki önemi nedir?;Evrenin görünmeyen bileþenlerinin araþtýrýlmasý, evrenin yapýsýný ve geniþleme hýzýný anlamamýza yardýmcý olur.;Baþarýsýz;FN;;;;;
;Evrenin uzak köþelerindeki kozmik olaylar, zamanýn ve uzayýn nasýl etkileþime girdiðini anlamamýzda önemli bir rol oynar.;Baþarýlý;TN;;;;;
Türkiye'deki futbolun tarihsel geliþimi nasýldýr?;Ülkemizde top oyununun kökenleri 19. yüzyýlýn sonlarýna kadar uzanýr.;Baþarýlý;TP;;;;;
Türkiye'de futbolun en popüler takýmlarý hangileridir?;Üç büyükler olarak bilinen kulüpler, geniþ bir hayran kitlesine sahiptir.;Baþarýlý;TP;;;;;
Türkiye Süper Lig'inin yapýsý ve formatý nasýldýr?;En üst seviye lig, 18 takýmýn mücadele ettiði bir rekabet sahasýdýr.;Baþarýlý;TP;;;;;
Türkiye'de futbol taraftarlýðý ve fanatizm nasýl bir kültür oluþturur?;Taraftarlar, renklerine gönülden baðlý olup maç günlerinde büyük coþku yaþar.;Baþarýlý;TP;;;;;
Türkiye'de kadýn futbolunun geliþimi ve mevcut durumu nedir?;Kadýn futbol takýmlarý, ligde ve turnuvalarda önemli baþarýlar elde eder.;Baþarýlý;TP;;;;;
Türkiye'de futbolun ekonomik etkileri nelerdir?;Futbol ekonomisi, bilet satýþlarý ve yayýn haklarý gelirleri ile desteklenir.;Baþarýlý;TP;;;;;
Türkiye'de futbol hakemlerinin karþýlaþtýðý zorluklar nelerdir?;Hakemler, karar verirken büyük baskýlar altýnda kalabilirler.;Baþarýsýz;FN;;;;;
Türkiye'nin uluslararasý futbol turnuvalarýndaki baþarýlarý nelerdir?;Ulusal takým, Avrupa ve dünya çapýnda önemli turnuvalara katýlmaktadýr.;Baþarýlý;TP;;;;;
Türkiye'deki futbol stadyumlarýnýn durumu ve özellikleri nelerdir?;Modern arenalar, hem yerel hem de uluslarasý maçlara ev sahipliði yapar.;Baþarýlý;TP;;;;;
;Futbol yönetimi, fair-play ve etik deðerlerin korunmasýna özen gösterir.;Baþarýlý;TN;;;;;
Türkiye'de dizi ve film sektörünün tarihsel geliþimi nasýldýr?;Ülkemizde sinema ve televizyon yapýmlarý, 20. yüzyýlýn baþlarýndan itibaren geliþmeye baþlamýþtýr.;Baþarýlý;TP;;;;;
Türkiye'de dizi ve film sektörünün ekonomik etkileri nelerdir?;Altýn Portakal ve Yeþilçam Ödülleri, sektördeki önemli baþarýlarý ödüllendirmektedir.;Baþarýlý;TP;;;;;
Türk dizilerinin uluslararasý baþarýsýnýn sebepleri nelerdir?;Gelecekte, sanal gerçeklik ve artýrýlmýþ gerçeklik gibi teknolojilerin sektöre entegre edilmesi beklenmektedir.;Baþarýlý;TP;;;;;
Türkiye'deki dizi ve film sektöründe çalýþanlarýn karþýlaþtýðý zorluklar nelerdir?;Yoðun set programlarý, ekip üyeleri için büyük bir fiziksel ve zihinsel yük oluþturabilir.;Baþarýsýz;FN;;;;;
Türkiye'de dizi ve film sektöründe kullanýlan teknolojik yenilikler nelerdir?;Dizi ve film sektöründe inovasyon, rekabet avantajý saðlamaktadýr.;Baþarýlý;TP;;;;;
Türkiye'deki dizi ve filmlerde sýkça kullanýlan temalar nelerdir?;Çoðunlukla Türk dizileri aþk, töre ve aile baðlarý gibi konularý iþler.;Baþarýlý;TP;;;;;
Türk sinemasýnýn dünya sinemasý üzerindeki etkileri nelerdir?;Görsel efektler ve animasyon, film ve dizilerin görsel çekiciliðini artýrýr.;Baþarýlý;TP;;;;;
Türkiye'de dizi ve film sektöründe hangi ödüller verilmektedir?;Altýn Portakal ve Yeþilçam Ödülleri, sektördeki önemli baþarýlarý ödüllendirmektedir.;Baþarýlý;TP;;;;;
Türk dizi ve film sektöründe gelecekte ne gibi yenilikler bekleniyor?;Gelecekte, sanal gerçeklik ve artýrýlmýþ gerçeklik gibi teknolojilerin sektöre entegre edilmesi beklenmektedir.;Baþarýlý;TP;;;;;
;Dizi ve film sektöründe inovasyon, rekabet avantajý saðlamaktadýr.;Baþarýlý;TN;;;;;
Dijitalleþme kitap okuma alýþkanlýklarýný nasýl deðiþtirdi?;Teknolojik geliþmeler, edebi eserlerin daha geniþ kitlelere ulaþmasýný saðlýyor.;Baþarýsýz;FN;;;;;
E-kitaplarýn geleneksel kitaplara göre avantajlarý nelerdir?;Dijital metinler, taþýnabilirlik ve eriþim kolaylýðý sunar.;Baþarýlý;TP;;;;;
Dijitalleþmenin kütüphanelerin kullanýmýna etkisi nasýldýr?;Dijital koleksiyonlar, bilgi merkezlerinin daha geniþ kitlelere hizmet vermesini saðlar.;Baþarýlý;TP;;;;;
Dijitalleþmenin kitap fiyatlarýna etkisi nedir?;Yeni nesil, dijital ortamda kitaplara daha kolay eriþebilmektedir.;Baþarýlý;TP;;;;;
Sesli kitaplarýn popülaritesinin artmasý ne anlama geliyor?;Hareket halindeyken de kitap dinleme imkaný sunan sesli kitaplar oldukça popüler hale geldi.;Baþarýlý;TP;;;;;
Dijitalleþmenin gençler üzerindeki okuma alýþkanlýklarýna etkisi nedir?;Yeni nesil, dijital ortamda kitaplara daha kolay eriþebilmektedir.;Baþarýlý;TP;;;;;
Sosyal medyanýn kitap okuma alýþkanlýklarý üzerindeki etkisi nedir?;Sosyal medya, kullanýcýlarýn dikkatini daðýtarak ve daha kýsa içerik tüketimine yönlendirerek kitap okuma alýþkanlýklarýný olumsuz etkileyebilir. Bununla birlikte, kitap önerileri ve okuma gruplarý aracýlýðýyla edebi eserlere olan ilgiyi artýrabilir.;Baþarýlý;TP;;;;;
Geleneksel yayýnevleri dijitalleþmeye nasýl uyum saðlýyor?;E-kitap kütüphaneleri oluþturarak geniþ bir okuyucu kitlesine hitap ediyorlar.;Baþarýsýz;FN;;;;;
E-kitaplarýn korsan yayýncýlýðý üzerindeki etkisi nedir?;Dijital formatlar, izinsiz kopyalarýn yayýlmasýný engellemeye yönelik yeni yöntemler gerektirir.;Baþarýlý;TP;;;;;
;Tablet ve akýllý telefonlar, okuma deneyimini zenginleþtirir.;Baþarýlý;TN;;;;;
Sahte haberler nedir ve nasýl tanýmlanýr?;Toplumsal algýyý manipüle etmek için kasýtlý olarak yanlýþ bilgi yayýlýr.;Baþarýlý;TP;;;;;
Sosyal medya platformlarý sahte haberlerin yayýlmasýnda nasýl bir rol oynar?;Dijital platformlarýn algoritmalarý, yanlýþ bilgilerin yayýlmasýný hýzlandýrabilir.;Baþarýlý;TP;;;;;
Dezenformasyonun saðlýk üzerindeki etkileri nelerdir?;Yanlýþ týbbi bilgiler, halk saðlýðýný tehlikeye atabilir.;Baþarýlý;TP;;;;;
Dezenformasyonun ekonomi üzerindeki etkileri nelerdir?;Yanýltýcý haberler, piyasalarýn dalgalanmasýna ve ekonomik kayýplara neden olabilir.;Baþarýlý;TP;;;;;
Yanýltýcý haberler toplumda ne tür sosyal etkiler yaratýr?;Yanlýþ bilgi yayýlýmý, toplumsal huzursuzluk ve bölünmelere neden olabilir.;Baþarýlý;TP;;;;;
Dezenformasyonla mücadelede yapay zekanýn rolü nedir?;Otomatik filtreleme sistemleri, yanýltýcý içerikleri tespit ederek kullanýcýlarý uyarýr.;Baþarýsýz;FN;;;;;
Sahte haberlerin yayýlma hýzýný artýran faktörler nelerdir?;Bilgi kirliliði, genellikle sosyal medya aðlarý üzerinden geniþ kitlelere ulaþýr.;Baþarýlý;TP;;;;;
Sahte haberlerle mücadelede analitik düþünmenin önemi nedir?;Eleþtirel düþünme becerileri, yanlýþ bilgiyle baþa çýkmada kilit bir rol oynar.;Baþarýlý;TP;;;;;
